country,total_litres_of_pure_alcohol
Belarus,14.4
Lithuania,12.9
Andorra,12.4
Grenada,11.9
Czech Republic,11.8
France,11.8
Russian Federation,11.5
Ireland,11.4
Slovakia,11.4
Luxembourg,11.4
Germany,11.3
Hungary,11.3
Portugal,11.0
Poland,10.9
Slovenia,10.6
Latvia,10.5
Belgium,10.5
Denmark,10.4
United Kingdom,10.4
Romania,10.4
Australia,10.4
Bulgaria,10.3
Switzerland,10.2
Croatia,10.2
St. Lucia,10.1
Finland,10.0
Spain,10.0
South Korea,9.8
Austria,9.7
Serbia,9.6
Estonia,9.5
Netherlands,9.4
New Zealand,9.3
Nigeria,9.1
Gabon,8.9
Ukraine,8.9
USA,8.7
Argentina,8.3
Uganda,8.3
Greece,8.3
South Africa,8.2
Cyprus,8.2
Canada,8.2
St. Kitts & Nevis,7.7
Venezuela,7.7
Chile,7.6
Paraguay,7.3
Sweden,7.2
Panama,7.2
Brazil,7.2
Guyana,7.1
Niue,7.0
Japan,7.0
Palau,6.9
Belize,6.8
Namibia,6.8
Rwanda,6.8
Kazakhstan,6.8
Sierra Leone,6.7
Norway,6.7
Iceland,6.6
Uruguay,6.6
Dominica,6.6
Malta,6.6
Italy,6.5
Trinidad & Tobago,6.4
Thailand,6.4
Barbados,6.3
Bahamas,6.3
Moldova,6.3
Burundi,6.3
St. Vincent & the Grenadines,6.3
Laos,6.2
Dominican Republic,6.2
Peru,6.1
Haiti,5.9
Cook Islands,5.9
Angola,5.9
Cameroon,5.8
Equatorial Guinea,5.8
Tanzania,5.7
Suriname,5.6
Mexico,5.5
Botswana,5.4
Georgia,5.4
China,5.0
Montenegro,4.9
Albania,4.9
Mongolia,4.9
Antigua & Barbuda,4.9
Zimbabwe,4.7
Swaziland,4.7
Bosnia-Herzegovina,4.6
Philippines,4.6
Costa Rica,4.4
Burkina Faso,4.3
Ecuador,4.2
Cuba,4.2
Colombia,4.2
Sao Tome & Principe,4.2
Seychelles,4.1
Cabo Verde,4.0
Cote d'Ivoire,4.0
Macedonia,3.9
Bolivia,3.8
Armenia,3.8
Nicaragua,3.5
Jamaica,3.4
Liberia,3.1
Honduras,3.0
Lesotho,2.8
United Arab Emirates,2.8
Mauritius,2.6
Samoa,2.6
Zambia,2.5
Guinea-Bissau,2.5
Israel,2.5
Uzbekistan,2.4
Kyrgyzstan,2.4
Gambia,2.4
Micronesia,2.3
DR Congo,2.3
India,2.2
Turkmenistan,2.2
Cambodia,2.2
Sri Lanka,2.2
Guatemala,2.2
El Salvador,2.2
Vietnam,2.0
Bahrain,2.0
Fiji,2.0
Lebanon,1.9
Central African Republic,1.8
Kenya,1.8
Ghana,1.8
Sudan,1.7
Congo,1.7
Papua New Guinea,1.5
Malawi,1.5
Singapore,1.5
Turkey,1.4
Togo,1.3
Mozambique,1.3
Azerbaijan,1.3
Tunisia,1.3
Solomon Islands,1.2
Benin,1.1
Tonga,1.1
Djibouti,1.1
Tuvalu,1.0
Syria,1.0
Kiribati,1.0
Nauru,1.0
Vanuatu,0.9
Qatar,0.9
Madagascar,0.8
Oman,0.7
Algeria,0.7
Ethiopia,0.7
Brunei,0.6
Mali,0.6
Eritrea,0.5
Jordan,0.5
Morocco,0.5
Bhutan,0.4
Chad,0.4
Malaysia,0.3
Tajikistan,0.3
Senegal,0.3
Guinea,0.2
Iraq,0.2
Egypt,0.2
Nepal,0.2
Saudi Arabia,0.1
Indonesia,0.1
Myanmar,0.1
Yemen,0.1
Niger,0.1
Timor-Leste,0.1
Comoros,0.1
Bangladesh,0.0
Mauritania,0.0
Monaco,0.0
Maldives,0.0
Marshall Islands,0.0
North Korea,0.0
Somalia,0.0
San Marino,0.0
Iran,0.0
Kuwait,0.0
Pakistan,0.0
Libya,0.0
Afghanistan,0.0
